2.333999999999999964e-01,5.298277010917663565e-01,5.124208940429687573e+03,3.493073047637939244e+00
2.580000000000000071e-01,5.262002100944519478e-01,5.082891396240234826e+03,3.349099271535873612e+00
2.598000000000000309e-01,5.217962049245834510e-01,5.166856659423828205e+03,3.443946164131164611e+00
2.459999999999999964e-01,5.300190549492835856e-01,5.363700688476562391e+03,3.836125951290130676e+00
2.181999999999999773e-01,5.164805122017860350e-01,5.536083496337890210e+03,4.379279177427291891e+00
2.010000000000000120e-01,5.216749931573867460e-01,5.698218015380859470e+03,5.180757345199585195e+00
1.900000000000000022e-01,5.102975240051745853e-01,5.813360378173828394e+03,5.752392856597900561e+00
1.940000000000000058e-01,5.174613419771194600e-01,5.885033289794921984e+03,6.291984220981597709e+00
1.854000000000000092e-01,5.244245014190673793e-01,5.879980084472656017e+03,6.643421620368957115e+00
1.900000000000000022e-01,5.075237136483192746e-01,6.013002151123047042e+03,6.741305628299713248e+00
